,'Want' Complement Subjects,'When' Clauses,Absence of Common Consonants,Action Nominal Constructions,Adjectives without Nouns,Adjoined relative clauses,Alignment of Case Marking of Full Noun Phrases,Alignment of Case Marking of Pronouns,Alignment of Verbal Person Marking,Antipassive Constructions,Applicative Constructions,Asymmetrical Case-Marking,Case Syncretism,Coding of Evidentiality,Coding of Nominal Plurality,Comitatives and Instrumentals,Comparative Constructions,Conjunctions and Universal Quantifiers,Consonant Inventories,Consonant-Vowel Ratio,Correlative relative clauses,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Definite Articles,Distance Contrasts in Demonstratives,Distributive Numerals,Ditransitive Constructions: The Verb 'Give',Double negation in verb-initial languages,Double-headed relative clauses,Epistemic Possibility,Exponence of Selected Inflectional Formatives,Exponence of Tense-Aspect-Mood Inflection,Expression of Pronominal Subjects,Finger and Hand,Fixed Stress Locations,Front Rounded Vowels,Fusion of Selected Inflectional Formatives,Gender Distinctions in Independent Personal Pronouns,"Genitives, Adjectives and Relative Clauses",Glottalized Consonants,Green and Blue,Hand and Arm,Imperative-Hortative Systems,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/Exclusive Forms in Pama-Nyungan,Indefinite Articles,Indefinite Pronouns,Inflectional Synthesis of the Verb,Intensifiers and Reflexive Pronouns,Internally-headed relative clauses,Irregular Negatives in Sign Languages,Languages with different word order in negative clauses,"Languages with two Dominant Orders of Subject, Object, and Verb",Lateral Consonants,Locus of Marking in Possessive Noun Phrases,Locus of Marking in the Clause,Locus of Marking: Whole-language Typology,M in First Person Singular,M in Second Person Singular,M-T Pronouns,Minor morphological means of signaling negation,Multiple Negative Constructions in SOV Languages,Multiple Negative Constructions in SVO Languages,N-M Pronouns,Nasal Vowels in West Africa,NegSOV Order,NegSVO Order,Negative Indefinite Pronouns and Predicate Negation,Negative Morphemes,Nominal and Locational Predication,Nominal and Verbal Conjunction,Nonperiphrastic Causative Constructions,Noun Phrase Conjunction,Number of Basic Colour Categories,Number of Cases,Number of Genders,Number of Non-Derived Basic Colour Categories,Number of Possessive Nouns,Numeral Bases,Numeral Classifiers,Obligatory Double Negation,Obligatory Double Negation in SOV languages,Obligatory Double Negation in SVO languages,Obligatory Possessive Inflection,Occurrence of Nominal Plurality,Optional Double Negation,Optional Double Negation in SOV languages,Optional Double Negation in SVO languages,Optional Triple Negation,Order of Adjective and Noun,Order of Adposition and Noun Phrase,Order of Adverbial Subordinator and Clause,Order of Degree Word and Adjective,Order of Demonstrative and Noun,Order of Genitive and Noun,Order of Negative Morpheme and Verb,Order of Numeral and Noun,Order of Object and Verb,"Order of Object, Oblique, and Verb",Order of Person Markers on the Verb,Order of Relative Clause and Noun,Order of Subject and Verb,"Order of Subject, Object and Verb",Ordinal Numerals,Other Roles of Applied Objects,Overlap between Situational and Epistemic Modal Marking,Para-Linguistic Usages of Clicks,Passive Constructions,Perfective/Imperfective Aspect,Periphrastic Causative Constructions,Person Marking on Adpositions,Plurality in Independent Personal Pronouns,Polar Questions,Politeness Distinctions in Pronouns,Position of Case Affixes,Position of Interrogative Phrases in Content Questions,"Position of Negative Word With Respect to Subject, Object, and Verb",Position of Polar Question Particles,Position of Pronominal Possessive Affixes,Position of Tense-Aspect Affixes,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Possessive Classification,Postnominal relative clauses,Postverbal Negative Morphemes,Predicative Adjectives,Predicative Possession,Prefixing vs. Suffixing in Inflectional Morphology,Prenominal relative clauses,Presence of Uncommon Consonants,Preverbal Negative Morphemes,Productivity of the Antipassive Construction,Pronominal and Adnominal Demonstratives,Purpose Clauses,Question Particles in Sign Languages,Reason Clauses,Reciprocal Constructions,Red and Yellow,Reduplication,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Relativization on Obliques,Relativization on Subjects,Rhythm Types,SNegOV Order,SNegVO Order,SONegV Order,SOVNeg Order,SVNegO Order,SVONeg Order,Semantic Distinctions of Evidentiality,Sex-based and Non-sex-based Gender Systems,Situational Possibility,Subtypes of Asymmetric Standard Negation,Suppletion According to Tense and Aspect,Suppletion in Imperatives and Hortatives,Syllable Structure,Symmetric and Asymmetric Standard Negation,Syncretism in Verbal Person/Number Marking,Systems of Gender Assignment,Tea,The Associative Plural,The Future Tense,The Morphological Imperative,The Optative,The Past Tense,The Perfect,The Position of Negative Morphemes in Object-Initial Languages,The Position of Negative Morphemes in SOV Languages,The Position of Negative Morphemes in SVO Languages,The Position of Negative Morphemes in Verb-Initial Languages,The Prohibitive,The Velar Nasal,Third Person Pronouns and Demonstratives,Third Person Zero of Verbal Person Marking,Tone,Utterance Complement Clauses,Uvular Consonants,Verb-Initial with Clause-Final Negative,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Verb-Initial with Preverbal Negative,Verbal Number and Suppletion,Verbal Person Marking,Voicing and Gaps in Plosive Systems,Voicing in Plosives and Fricatives,Vowel Nasalization,Vowel Quality Inventories,Weight Factors in Weight-Sensitive Stress Systems,Weight-Sensitive Stress,Writing Systems,Zero Copula for Predicate Nominals,Zero Marking of A and P Arguments
Mono (in United States),,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Nyawaygi,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Guajajara,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Suki,,,,,,,,,,,,,,,Plural suffix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjective-Noun,,,,Demonstrative-Noun,Genitive-Noun,,No dominant order,OV,,,,SV,SOV,,,,,,,,,,,,Case suffixes,Not initial interrogative phrase,,,,Tense-aspect suffixes,,,,,,,Strongly suffixing,,,,,,,,,,,,OV and AdjN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konyagi,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Baka (in South Sudan),,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Zapotec (Zoogocho),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,Identical,,,,,,,,,,,,,,,,,,,,None,,,,,,,,Negative particle,,,,,,,,,,,,,,,,,,,,,Noun-Adjective,,Initial subordinator word,,Noun-Demonstrative,,NegV,Numeral-Noun,VO,,,Noun-Relative clause,VS,VSO,,,,,,,,,,Interrogative intonation only,,No case affixes or adpositional clitics,Not initial interrogative phrase,NegVSO,No question particle,Possessive suffixes,Tense-aspect prefixes,Immed preverbal,,Noun-Relative clause (NRel) dominant,None,,,Equal prefixing and suffixing,,,NegV,,,,,,,,,VO and NAdj,,VO and NRel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NegVSO,,,,,,,,No clause-final neg,None,"Separate word, no double negation  Word&NoDoubleNeg",,,,,,,,,,,
Amuesha,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Kwakw'ala,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Sotho (Northern),,,,,,,,,,,,,,,Plural prefix,,Exceed,,,,,,No definite or indefinite article,,,Double-object construction,,,,,,Subject affixes on verb,,,,,,,,,,Neither type of system,,,,No definite or indefinite article,,,,,,,,,,,,,,,None,,,,,,No NegSVO,,Double negation,,,,,,,,,,,,Neg[V-Neg],,SNeg[V-Neg]O,,,,,,,,,,,,Noun-Genitive,ObligDoubleNeg,,VO,,,,SV,SVO,,,,,,,,,,,,,,ObligDoubleNeg,,,Mixed type,Immed preverbal,,,[V-Neg],,,,,,NegV,,,,,,,,,,,,,Gap,,,Word&OnlyWithAnotherNeg,,,Suffix&OnlyWithAnotherNeg,No SVONeg,,,,,,,,,,,,,,Second singular and second plural,,,,,,ObligNeg,,Special imperative + special negative,,,,,,,,,,,,,,,,,,,,
Iaai,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Coahuilteco,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Yaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,Identical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilagá,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Nakkara,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Kimaghama,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Gaelic (Scots),,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Erromangan,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Sawu,,,,,,,,,Neutral,,,,,,,,,Formally different,,,,,,,,,,,,,,,,,,,No gender distinctions,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,Morphological but no compound,,,,None,,,,Obligatory,,,,,,,,,,,,,,,,VNeg,,,,A and P do not or do not both occur on the verb,,,,,,,,Absent,,,No person marking,,,,,,,,,,,,,VNeg,,,,,,None,,,Balanced,,,,,,,,,,,,,,,,,,,No gender,,Non-assignable,,,,Symmetric,,No gender,,,,Second person number-neutral,,,,,,,,Normal imperative + special negative,,Unrelated,No person marking,,Balanced,,,,,,No person marking,,,,,,,,,
Qawasqar,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Azerbaijani,,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
Mixe (Coatlán),,,,,,,,,,,Benefactive and other; both bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instrument and locative,,,,,,,,,,,,,,,,,,,,Verbal encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Words derived from Sinitic cha,,,,Inflectional optative present,,,,,,,,No velar nasal,,,,,,,,,,,,,,,,,,Impossible,
